order_id,user_id,restaurant_id,city,order_ts,delivered_ts,promised_mins,order_value,payment_method,status
1001,501,301,Chennai,2025-08-20T12:05:00,2025-08-20T12:36:00,30,480,UPI,DELIVERED
1002,502,302,Bangalore,2025-08-20T12:10:00,2025-08-20T12:58:00,40,250,CARD,DELIVERED
1003,503,301,Chennai,2025-08-20T13:00:00,2025-08-20T13:50:00,25,620,CASH,CANCELLED
1004,504,303,Hyderabad,2025-08-20T14:15:00,2025-08-20T14:50:00,30,300,UPI,DELIVERED
1005,505,302,Bangalore,2025-08-20T15:00:00,2025-08-20T15:45:00,35,150,CARD,DELIVERED
1006,506,304,Mumbai,2025-08-20T16:10:00,2025-08-20T16:45:00,30,520,CASH,DELIVERED
1007,507,305,Pune,2025-08-20T17:05:00,2025-08-20T17:50:00,40,270,UPI,CANCELLED
1008,508,306,Delhi,2025-08-20T18:20:00,2025-08-20T19:00:00,45,650,CARD,DELIVERED
1009,509,307,Chennai,2025-08-20T19:00:00,2025-08-20T19:30:00,25,320,CASH,DELIVERED
1010,510,308,Bangalore,2025-08-20T20:15:00,2025-08-20T21:00:00,40,200,UPI,DELIVERED
1011,511,309,Hyderabad,2025-08-20T12:30:00,2025-08-20T13:05:00,30,450,CARD,DELIVERED
1012,512,310,Pune,2025-08-20T13:10:00,2025-08-20T13:55:00,40,180,UPI,CANCELLED
1013,513,311,Mumbai,2025-08-20T14:00:00,2025-08-20T14:50:00,50,720,CASH,DELIVERED
1014,514,312,Delhi,2025-08-20T15:15:00,2025-08-20T16:00:00,40,300,CARD,DELIVERED
1015,515,313,Chennai,2025-08-20T16:05:00,2025-08-20T16:40:00,30,250,UPI,DELIVERED
1016,516,314,Bangalore,2025-08-20T17:30:00,2025-08-20T18:10:00,35,410,CASH,DELIVERED
1017,517,315,Hyderabad,2025-08-20T18:20:00,2025-08-20T19:05:00,40,560,UPI,DELIVERED
1018,518,316,Pune,2025-08-20T19:00:00,2025-08-20T19:40:00,30,330,CARD,CANCELLED
1019,519,317,Delhi,2025-08-20T20:10:00,2025-08-20T20:50:00,40,290,CASH,DELIVERED
1020,520,318,Mumbai,2025-08-20T21:00:00,2025-08-20T21:40:00,40,600,UPI,DELIVERED
1021,521,319,Chennai,2025-08-20T12:45:00,2025-08-20T13:25:00,40,510,CARD,DELIVERED
1022,522,320,Bangalore,2025-08-20T13:30:00,2025-08-20T14:20:00,45,220,CASH,DELIVERED
1023,523,321,Hyderabad,2025-08-20T14:20:00,2025-08-20T15:10:00,45,370,UPI,DELIVERED
1024,524,322,Pune,2025-08-20T15:10:00,2025-08-20T15:55:00,30,260,CARD,DELIVERED
1025,525,323,Mumbai,2025-08-20T16:20:00,2025-08-20T17:00:00,40,700,CASH,DELIVERED
1026,526,324,Delhi,2025-08-20T17:00:00,2025-08-20T17:40:00,40,350,UPI,CANCELLED
1027,527,325,Chennai,2025-08-20T18:15:00,2025-08-20T18:55:00,40,230,CARD,DELIVERED
1028,528,326,Bangalore,2025-08-20T19:05:00,2025-08-20T19:50:00,45,420,UPI,DELIVERED
1029,529,327,Hyderabad,2025-08-20T20:00:00,2025-08-20T20:45:00,45,510,CASH,DELIVERED
1030,530,328,Pune,2025-08-20T21:10:00,2025-08-20T21:50:00,40,280,CARD,DELIVERED
1031,531,329,Mumbai,2025-08-20T12:15:00,2025-08-20T12:55:00,40,640,UPI,DELIVERED
1032,532,330,Delhi,2025-08-20T13:20:00,2025-08-20T14:00:00,40,310,CASH,DELIVERED
1033,533,331,Chennai,2025-08-20T14:30:00,2025-08-20T15:10:00,40,230,CARD,CANCELLED
1034,534,332,Bangalore,2025-08-20T15:25:00,2025-08-20T16:10:00,45,380,UPI,DELIVERED
1035,535,333,Hyderabad,2025-08-20T16:30:00,2025-08-20T17:15:00,45,560,CASH,DELIVERED
